Matrix_id	Gene_id	Species	Method	Datasource	Datasource_ID
MP00494	AT5G07100	Arabidopsis thaliana	DAP	PMID:27203113	AT5G07100
MP00495	AT5G07310	Arabidopsis thaliana	DAP	PMID:27203113	AT5G07310
MP00496	AT5G07680	Arabidopsis thaliana	DAP	PMID:27203113	AT5G07680
MP00497	AT5G08070	Arabidopsis thaliana	DAP	PMID:27203113	AT5G08070
MP00498	AT5G08130	Arabidopsis thaliana	DAP	PMID:27203113	AT5G08130
MP00499	AT5G08330	Arabidopsis thaliana	DAP	PMID:27203113	AT5G08330
MP00500	AT5G08520	Arabidopsis thaliana	DAP	PMID:27203113	AT5G08520
MP00501	AT5G09410	Arabidopsis thaliana	DAP	PMID:27203113	AT5G09410
MP00502	AT5G10030	Arabidopsis thaliana	DAP	PMID:27203113	AT5G10030
MP00503	AT5G10280	Arabidopsis thaliana	DAP	PMID:27203113	AT5G10280
MP00504	AT5G10510	Arabidopsis thaliana	DAP	PMID:27203113	AT5G10510
MP00505	AT5G11510	Arabidopsis thaliana	DAP	PMID:27203113	AT5G11510
MP00506	AT5G13080	Arabidopsis thaliana	DAP	PMID:27203113	AT5G13080
MP00507	AT5G13180	Arabidopsis thaliana	DAP	PMID:27203113	AT5G13180
MP00508	AT5G13790	Arabidopsis thaliana	DAP	PMID:27203113	AT5G13790
MP00509	AT5G13910	Arabidopsis thaliana	DAP	PMID:27203113	AT5G13910
MP00510	AT5G14340	Arabidopsis thaliana	DAP	PMID:27203113	AT5G14340
MP00511	AT5G14960	Arabidopsis thaliana	DAP	PMID:27203113	AT5G14960
MP00512	AT5G15830	Arabidopsis thaliana	DAP	PMID:27203113	AT5G15830
MP00513	AT5G16600	Arabidopsis thaliana	DAP	PMID:27203113	AT5G16600
MP00514	AT5G16820	Arabidopsis thaliana	DAP	PMID:27203113	AT5G16820
MP00515	AT5G17300	Arabidopsis thaliana	DAP	PMID:27203113	AT5G17300
MP00516	AT5G17800	Arabidopsis thaliana	DAP	PMID:27203113	AT5G17800
MP00517	AT5G18090	Arabidopsis thaliana	DAP	PMID:27203113	AT5G18090
MP00518	AT5G18270	Arabidopsis thaliana	DAP	PMID:27203113	AT5G18270
MP00519	AT5G18450	Arabidopsis thaliana	DAP	PMID:27203113	AT5G18450
MP00520	AT5G18560	Arabidopsis thaliana	DAP	PMID:27203113	AT5G18560
MP00521	AT5G19790	Arabidopsis thaliana	DAP	PMID:27203113	AT5G19790
MP00522	AT5G22890	Arabidopsis thaliana	DAP	PMID:27203113	AT5G22890
MP00523	AT5G22990	Arabidopsis thaliana	DAP	PMID:27203113	AT5G22990
